City,Population,Classification,Political Stance
Nicolet,8620,small,Bloc
Saint-Lambert,22761,small,Liberal
Sainte-Catherine,17347,small,Bloc
Erin,11981,small,Conservative
Beamsville,13323,small,Conservative
Wingham,2981,small,Conservative
Smiths Falls,9254,small,Conservative
Millbrook,1739,small,Conservative
Southampton,3993,small,Conservative
Port Alice,739,rural,NDP
Digby,7242,small,Conservative
Creermore,1194,small,Conservative
Rapid Lake,663,rural,Liberal
The Pas,5639,small,NDP
Brighton,12108,small,Conservative
Carleton Place,12517,small,Conservative
Verdun,69229,medium,Liberal
Rimouski,48935,medium,Bloc
Sorel-Tracy,35165,medium,Bloc
Miramichi,17692,small,Conservative
Tilbury,4687,small,Conservative
Williams Lake,10947,small,Conservative
Carbonear,4696,small,Liberal
St. Paul,5863,small,Conservative
Sainte-Adèle,14010,small,Bloc
Exeter,4863,small,Conservative
Ashern,616,rural,Conservative
Montérégie,1591620,large,Liberal
Puvirnituq,2129,small,Bloc
Beausejour,3307,small,Conservative
Shelburne,8994,small,Conservative
Three Hills,3042,small,Conservative
Owen Sound,21612,small,Conservative
Guysborough,4585,small,Liberal
Lanark,75760,medium,Conservative
Glendon,338,rural,Conservative
Centre-du-Québec,250445,large,Bloc
Cape Breton,93694,medium,Liberal
Lucknow,1154,small,Conservative
Blind River,3422,small,NDP
Elmira,10790,small,Liberal
Wasaga Beach,24862,small,Conservative
Cobourg,20519,small,Conservative
L'Ancienne-Lorette,16970,small,Conservative
Quinte West,46560,medium,Conservative
Morin-heights,4678,small,Liberal
Salaberry-de-Valleyfield,42787,medium,Bloc
Bracebridge,17305,small,Conservative
Bay Roberts,5974,small,Liberal
Thorold,23816,small,Liberal
Sainte-Foy,76262,medium,Liberal
Sheet Harbour,10,rural,Liberal
Laxgalts'ap,248,rural,NDP
Neepawa,5685,small,Conservative
Fogo Island,2117,small,Conservative
Manning,1126,small,Conservative
Island Lake,174,rural,Conservative
Gaspé,15063,small,Liberal
Deloraine,962,rural,Conservative
Lincoln,25719,small,Conservative
Sioux Lookout,5839,small,Conservative
Clarence Creek,26505,small,Liberal
Granby,69025,medium,Bloc
Canso,4585,small,Liberal
St. Marys,7386,small,Conservative
Port Hope,17294,small,Conservative
Alexis Creek,53,rural,Conservative
Stouffville,36753,medium,Liberal
Raymond,4199,small,Conservative
Vanderhoof,4346,small,Conservative
York,1173334,large,Liberal
Amherst,9404,small,Conservative
Fort Erie,32901,medium,Conservative
Elliot Lake,11372,small,NDP
Mahone Bay,1064,small,Conservative
Flin Flon,4940,small,NDP
Listowel,9539,small,Conservative
Chambly,31444,medium,Bloc
Grand Bend,3031,small,Conservative
Almonte,6098,small,Conservative
Gravenhurst,13157,small,Conservative
Norwood,1585,small,Conservative
Portneuf,3329,small,Conservative
Manitoulin,13935,small,NDP
